"","community","species","family","Taxon","code","year_analisis","oil_type","oil_type_mg","oil_type_PER","PERoil"
"186","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C17.0",0.12,0.06,19.685
"187","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.0",5.62,2.85,19.685
"188","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.1n7c",1.13,0.57,19.685
"189","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.1n9c",26.52,13.47,19.685
"190","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.2n6c",145.48,73.9,19.685
"191","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.3n3",3.23,1.64,19.685
"192","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.3n6",0,0,19.685
"193","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C18.4n3",0,0,19.685
"194","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C20.0",0.12,0.06,19.685
"195","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C20.1n9",0.14,0.07,19.685
"196","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C20.2n6",0,0,19.685
"197","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C22.0",0.06,0.03,19.685
"198","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C22.1n9",0,0,19.685
"199","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C22.2n6",0,0,19.685
"200","Mediterranean","Phythemi","Campanulaceae","Phyteuma hemisphaericum","240821-10",2023,"C24.0",0.08,0.04,19.685
"201","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C12.0",0,0,8.591
"202","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C14.0",0,0,8.591
"203","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C15.0",0,0,8.591
"204","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C16.0",8.41,9.79,8.591
"205","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C16.1n7",0.08,0.1,8.591
"206","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C17.0",0.07,0.08,8.591
"207","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.0",1.46,1.69,8.591
"208","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.1n7c",0.94,1.09,8.591
"209","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.1n9c",14.99,17.45,8.591
"210","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.2n6c",31.47,36.64,8.591
"211","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.3n3",28.04,32.64,8.591
"212","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.3n6",0,0,8.591
"213","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C18.4n3",0,0,8.591
"214","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C20.0",0.2,0.23,8.591
"215","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C20.1n9",0.11,0.12,8.591
"216","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C20.2n6",0.05,0.06,8.591
"217","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C22.0",0.09,0.1,8.591
"218","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C22.1n9",0,0,8.591
"219","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C22.2n6",0,0,8.591
"220","Mediterranean","Planholo","Plantaginaceae","Plantago holosteum","250821-12",2023,"C24.0",0,0,8.591
"221","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C12.0",0,0,16.906
"222","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C14.0",0.1,0.06,16.906
"223","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C15.0",0,0,16.906
"224","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C16.0",12.58,7.44,16.906
"225","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C16.1n7",0.16,0.09,16.906
"226","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C17.0",0.11,0.07,16.906
"227","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C18.0",4.17,2.46,16.906
"228","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C18.1n7c",1.09,0.65,16.906
"229","Mediterranean","Seduangl","Crassulaceae","Sedum anglicum","240821-09",2023,"C18.1n9c",14.36,8.5,16.906
